"x","y"
120.585559381058,106.529929838267
108.732113737294,106.421344108894
94.9246338250125,101.319637665812
93.1470427509321,86.093436410001
100.006298409074,101.474882244754
119.8644808032,105.935233044152
107.098952730979,94.6286612379165
104.235196895424,99.6899076612861
96.0805658341855,103.524483147882
86.7542871194247,83.0458948697706
104.208727560929,91.1490506653377
104.986388611112,98.330410335287
96.4570234451083,97.1423473499345
101.5066216357,97.5098495962867
98.7682164397308,105.0199026203
113.246752380853,103.718453300685
94.9002648406769,93.8743880941396
90.5860190486244,107.02035055316
83.8871713907265,97.9086474822093
117.949552362932,98.5935024163572
140.379106862179,86.6696464200523
150.054707542259,94.5690568229339
139.114232917562,88.3970116726333
170.745981459942,108.042763844998
155.159284274786,92.5760881669197
148.171197005274,107.308427717845
169.289722902564,101.543044695461
162.521398801172,90.9271551632845
137.500325331542,95.2789693520943
145.168638072475,98.9321694596627
146.572896794275,105.001123705361
157.813514978527,91.6672701921909
148.706899987172,79.9327528251515
133.106133798487,101.823230769847
144.94508432135,98.9391082049458
152.749772910181,99.8736544959296
149.761985844931,98.983798856214
153.834679281571,92.4520744271064
139.015012769578,110.619150582712
153.295479983321,83.5711380356975
118.809262298936,204.772480485826
131.465902123698,190.198596349019
137.645630238661,206.187713207214
111.088299584372,203.418791665306
120.436313181117,206.631819786174
124.499443285564,185.082601539818
116.168274428078,193.202313291764
112.074008199262,191.323812964557
129.443246819888,212.953236886446
122.262563796357,188.314111970193
114.442098152487,193.696275785027
123.198719557849,203.367428629615
133.615515319048,190.325731327499
131.063248548705,195.46180897027
113.883891059548,207.700274652519
128.573704570704,186.408879618895
131.895231434553,207.763378055631
114.019770342087,217.56631728539
131.002107143805,203.329213707686
126.53362354296,195.795915029277
